X';Y'
693586;3759933
693509;3759866
693410;3759766
693280;3759609
693106;3759395
692976;3759242
692852;3759087
692634;3758821
692410;3758547
692248;3758349
692072;3758136
691869;3757899
691730;3757742
691547;3757541
691364;3757335
691180;3757132
690990;3756929
690716;3756656
690513;3756460
690233;3756185
690029;3755989
689760;3755727
689481;3755457
689241;3755222
689075;3755063
688889;3754877
688639;3754640
688424;3754434
688168;3754184
687749;3753779
687581;3753609
687337;3753376
687135;3753178
687017;3753063
686772;3752888
686526;3752718
686250;3752531
686049;3752397
685747;3752201
685615;3752117
685526;3752063
685392;3751986
685241;3751906
685100;3751829
684956;3751751
684855;3751691
684705;3751579
684597;3751473
684514;3751368
684406;3751175
684307;3750905
684219;3750633
684097;3750335
683953;3750082
683797;3749860
683627;3749647
683423;3749414
683236;3749229
683030;3749035
682792;3748842
682422;3748576
682029;3748344
681545;3748110
681248;3747999
680972;3747911
680717;3747840
680363;3747766
679799;3747648
679549;3747597
679208;3747530
678942;3747463
678664;3747375
678430;3747258
678223;3747126
677998;3746922
677764;3746648
677590;3746429
677361;3746149
677085;3745896
676824;3745708
676492;3745476
676317;3745355
676047;3745171
675762;3744969
675511;3744792
675345;3744657
675137;3744473
674932;3744302
674730;3744158
674510;3744024
674175;3743854
674088;3743818
673938;3743760
673688;3743668
673496;3743589
673239;3743466
672941;3743270
672654;3743046
672233;3742718
671842;3742409
671551;3742186
671281;3741996
670890;3741772
670139;3741453
669555;3741300
668945;3741197
668200;3741015
667693;3740845
667078;3740605
666463;3740372
665999;3740188
665495;3739997
665142;3739861
664648;3739657
664146;3739388
663408;3738840
662770;3738321
662271;3737915
661736;3737485
661395;3737238
661008;3737010
660756;3736881
660384;3736710
660006;3736526
659668;3736348
659402;3736195
658982;3735929
658660;3735706
658248;3735396
657906;3735115
657435;3734681
657145;3734384
656745;3733952
656296;3733468
656001;3733154
655659;3732843
655412;3732650
655042;3732406
654733;3732208
654429;3731975
654154;3731726
653673;3731262
653473;3730994
653327;3730713
653082;3730186
652842;3729761
652565;3729367
652196;3728934
651440;3728268
651185;3728079
650756;3727742
650526;3727573
650038;3727255
649696;3727063
649073;3726734
648700;3726495
648485;3726331
648228;3726116
647904;3725784
647470;3725298
647006;3724787
646818;3724563
646658;3724425
693677;3760002
